#Round,HeatNumber,WinnerDest,LoserDest
W1,01,17A,33A
W1,02,18A,34A
W1,03,19A,35A
W1,04,20A,36A
W1,05,21A,37A
W1,06,22A,38A
W1,07,23A,39A
W1,08,24A,40A
W1,09,25A,41A
W1,10,26A,42A
W1,11,27A,43A
W1,12,28A,44A
W1,13,29A,45A
W1,14,30A,46A
W1,15,31A,47A
W1,16,32A,48A


W2,17,57A,48B
W2,18,57B,47B
W2,19,58A,46B
W2,20,58B,45B
W2,21,59A,44B
W2,22,59B,43B
W2,23,60A,42B
W2,24,60B,41B
W2,25,61A,40B
W2,26,61B,39B
W2,27,62A,38B
W2,28,62B,37B
W2,29,63A,36B
W2,30,63B,35B
W2,31,64A,34B
W2,32,64B,33B


W3,57,77A,69B
W3,58,77B,70B
W3,59,78A,71B
W3,60,78B,72B
W3,61,79A,65B
W3,62,79B,66B
W3,63,80A,67B
W3,64,80B,68B

W4,77,87A,84B
W4,78,87B,83B
W4,79,88A,82B
W4,80,88B,81B

W5,87,91A,89B
W5,88,91B,90B

W6,91,94A,93B



Championship7,94,(AWINS?Place1:95B),(AWINS?Place2:95A)
Championship7,95,Place1,Place2


#losers
L16,33,49A,OUT
L16,34,49B,OUT
L16,35,50A,OUT
L16,36,50B,OUT
L16,37,51A,OUT
L16,38,51B,OUT
L16,39,52A,OUT
L16,40,52B,OUT
L16,41,53A,OUT
L16,42,53B,OUT
L16,43,54A,OUT
L16,44,54B,OUT
L16,45,55A,OUT
L16,46,55B,OUT
L16,47,56A,OUT
L16,48,56B,OUT


L15,49,65A,OUT
L15,50,66A,OUT
L15,51,67A,OUT
L15,52,68A,OUT
L15,53,69A,OUT
L15,54,70A,OUT
L15,55,71A,OUT
L15,56,72A,OUT

L14,65,73A,OUT
L14,66,73B,OUT
L14,67,74A,OUT
L14,68,74B,OUT
L14,69,75A,OUT
L14,70,75B,OUT
L14,71,76A,OUT
L14,72,76B,OUT

L13,73,81A,OUT
L13,74,82A,OUT
L13,75,83A,OUT
L13,76,84A,OUT

L12,81,85A,OUT
L12,82,85B,OUT
L12,83,86A,OUT
L12,84,86B,OUT

L11,85,89A,501A
L11,86,90A,501B

L10,89,92A,502A
L10,90,92B,502B

L09,92,93A,Place4

L08,93,94B,Place3

Runoff,501,Place7,Place8
Runoff,502,Place5,Place6

Seed01,01A
Seed02,02A
Seed03,03A
Seed04,04A
Seed05,05A
Seed06,06A
Seed07,07A
Seed08,08A
Seed09,09A
Seed10,10A
Seed11,11A
Seed12,12A
Seed13,13A
Seed14,14A
Seed15,15A
Seed16,16A
Seed17,01B
Seed18,02B
Seed19,03B
Seed20,04B
Seed21,05B
Seed22,06B
Seed23,07B
Seed24,08B
Seed25,09B
Seed26,10B
Seed27,11B
Seed28,12B
Seed29,13B
Seed30,14B
Seed31,15B
Seed32,16B

Seed33,17B
Seed34,18B
Seed35,19B
Seed36,20B
Seed37,21B
Seed38,22B
Seed39,23B
Seed40,24B
Seed41,25B
Seed42,26B
Seed43,27B
Seed44,28B
Seed45,29B
Seed46,30B
Seed47,31B
Seed48,32B
