#Round,HeatNumber,WinnerDest,LoserDest
Left1,01,03A,05A
Left1,02,04A,05B

Left2,03,08A,06A
Left2,04,08B,06B

Right3,05,07A,502A
Right3,06,07B,502B

Right4,07,09A,Place4

Left5,08,10A,09B
Right6,09,10B,Place3

Championship7,10,(AWINS?Place1:11B),(AWINS?Place2:11A)
Championship7,11,Place1,Place2

Runoff,502,Place5,Place6

Seed1,01A
Seed2,02A
Seed3,03B
Seed4,04B
Seed5,02B
Seed6,01B



