#Round,HeatNumber,WinnerDest,LoserDest
Left1,01,05A,09A
Left1,02,06A,10A
Left1,03,07A,11A
Left1,04,08A,12A

Left2,05,15A,12B
Left2,06,15B,11B
Left2,07,16A,10B
Left2,08,16B,09B

Right3,09,13A,OUT
Right3,10,13B,OUT
Right3,11,14A,OUT
Right3,12,14B,OUT

Right4,13,17A,501A
Right4,14,18A,501B

Left5,15,20A,17B
Left5,16,20B,18B

Right6,17,19A,502A
Right6,18,19B,502B

Right7,19,21A,Place4

Left8,20,22A,21B

Right9,21,22B,Place3

Championship10,22,(AWINS?Place1:23B),(AWINS?Place2:23A)
Championship10,23,Place1,Place2


Runoff,501,Place7,Place8
Runoff,502,Place5,Place6

Seed01,01A
Seed02,02A
Seed03,03A
Seed04,04A
Seed05,05B
Seed06,06B
Seed07,07B
Seed08,08B
Seed09,04B
Seed10,02B
Seed11,03B
Seed12,01B
