#Round,HeatNumber,WinnerDest,LoserDest
W1,01,25A,17A
W1,02,25B,17B
W1,03,26A,18A
W1,04,26B,18B
W1,05,27A,19A
W1,06,27B,19B
W1,07,28A,20A
W1,08,28B,20B
W1,09,29A,21A
W1,10,29B,21B
W1,11,30A,22A
W1,12,30B,22B
W1,13,31A,23A
W1,14,31B,23B
W1,15,32A,24A
W1,16,32B,24B

W2,25,45A,37B
W2,26,45B,38B
W2,27,46A,39B
W2,28,46B,40B
W2,29,47A,33B
W2,30,47B,34B
W2,31,48A,35B
W2,32,48B,36B

W3,45,55A,52B
W3,46,55B,51B
W3,47,56A,50B
W3,48,56B,49B

W4,55,60A,57B
W4,56,60B,58B

W5,60,62A,61B

#losers
L14,17,33A,OUT
L14,18,34A,OUT
L14,19,35A,OUT
L14,20,36A,OUT
L14,21,37A,OUT
L14,22,38A,OUT
L14,23,39A,OUT
L14,24,40A,OUT

L13,33,41A,OUT
L13,34,41B,OUT
L13,35,42A,OUT
L13,36,42B,OUT
L13,37,43A,OUT
L13,38,43B,OUT
L13,39,44A,OUT
L13,40,44B,OUT

L12,41,49A,OUT
L12,42,50A,OUT
L12,43,51A,OUT
L12,44,52A,OUT

L11,49,53A,OUT
L11,50,53B,OUT
L11,51,54A,OUT
L11,52,54B,OUT

L10,53,57A,501A
L10,54,58A,501B

L9,57,59A,502A
L9,58,59B,502B

L8,59,61A,Place4

L7,61,62B,Place3

Championship6,62,(AWINS?Place1:63B),(AWINS?Place2:63A)
Championship6,63,Place1,Place2



Runoff,501,Place7,Place8
Runoff,502,Place5,Place6

Seed01,01A
Seed02,02A
Seed03,03A
Seed04,04A
Seed05,05A
Seed06,06A
Seed07,07A
Seed08,08A
Seed09,09A
Seed10,10A
Seed11,11A
Seed12,12A
Seed13,13A
Seed14,14A
Seed15,15A
Seed16,16A

Seed17,16B
Seed18,15B
Seed19,14B
Seed20,13B
Seed21,12B
Seed22,11B
Seed23,10B
Seed24,09B
Seed25,08B
Seed26,07B
Seed27,06B
Seed28,05B
Seed29,04B
Seed30,03B
Seed31,02B
Seed32,01B
