#Round,HeatNumber,WinnerDest,LoserDest
Left1,01,04A,03A
Left1,02,04B,03B

Right2,03,05A,Place4

Left3,04,06A,05B

Right4,05,06B,Place3

Championship5,06,(AWINS?Place1:07A),(AWINS?Place2:07B)
Championship5,07,Place1,Place2

Seed1,01A
Seed2,02A
Seed3,02B
Seed4,01B



