#Round,HeatNumber,WinnerDest,LoserDest
W1,01,07A,05A
W1,02,07B,05B
W1,03,08A,06A
W1,04,08B,06B

W2,07,12A,10B
W2,08,12B,09B

W3,12,14A,13B
Championship4,14,(AWINS?Place1:15B),(AWINS?Place2:15A)
Championship4,15,Place1,Place2

L8,05,09A,501A
L8,06,10A,501B

L7,09,11A,502A
L7,10,11B,502B

L6,11,13A,Place4

L5,13,14B,Place3

Runoff,501,Place7,Place8
Runoff,502,Place5,Place6

Seed1,01A
Seed2,02A
Seed3,03A
Seed4,04A
Seed5,04B
Seed6,02B
Seed7,03B
Seed8,01B
